# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
0,0,0
2.78E-05,0,0
2.78E-05,1.93E-09,1.93E-09
0.011111111,1.93E-09,1.93E-09
0.011111111,3.44E-11,3.44E-11
5,3.44E-11,3.44E-11
5,0.00E+00,0.00E+00
