# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
0,0,0
2.78E-05,0,0
2.78E-05,5.84E-08,5.84E-08
0.003333333,5.84E-08,5.84E-08
0.003333333,0.00E+00,0.00E+00
5,0.00E+00,0.00E+00
