#λ,Transmission
#μm,
6.84932,0.948700576
6.89655,0.9492722672
6.94444,0.9498273831
6.99301,0.9503794911
7.04225,0.9509483874
7.0922,0.9514905347
7.14286,0.9520481599
7.19424,0.9525768598
7.24638,0.9530976528
7.29927,0.9536299927
7.35294,0.9541561328
7.40741,0.9546856804
7.46269,0.955225497
7.5188,0.9557754998
7.57576,0.9562980314
7.63359,0.9567603425
7.69231,0.9571303993
7.75194,0.957289046
7.8125,0.9571767979
7.87402,0.9568275024
7.93651,0.9563132976
8,0.9557501563
8.06452,0.9553007509
8.13008,0.9550630109
8.19672,0.9550711269
8.26446,0.9552738879
8.33333,0.9555527237
8.40336,0.9557997527
8.47458,0.9559181253
8.54701,0.9559696161
8.62069,0.9559763228
8.69565,0.9560021131
8.77193,0.9561305567
8.84956,0.9563287724
8.92857,0.956597508
9.00901,0.9568909295
9.09091,0.9571637615
9.17431,0.9574418908
9.25926,0.9577341999
9.34579,0.958128075
9.43396,0.9586598057
9.52381,0.9593586689
9.61538,0.9601968467
9.70874,0.9611045017
9.80392,0.9620469178
9.90099,0.9629774294
10,0.9638829454
10.10101,0.9647570663
10.20408,0.9656352997
10.30928,0.9664766714
10.41667,0.9672961624
10.52632,0.9680388278
10.6383,0.9687170033
10.75269,0.9693370908
10.86957,0.9699374886
10.98901,0.9705523261
11.11111,0.9712123277
11.23596,0.9719230512
11.36364,0.972649345
11.49425,0.9733813574
11.62791,0.9740666961
11.76471,0.9746490833
11.90476,0.9751183107
12.04819,0.9754537978
12.19512,0.9756937914
12.34568,0.9758744286
12.5,0.9760441618
12.65823,0.9762096676
12.82051,0.976424539
12.98701,0.9766882261
13.15789,0.9769800367
13.33333,0.9772929549
13.51351,0.9776377259
13.69863,0.9779807297
13.88889,0.9783320208
14.08451,0.9786793454
14.28571,0.9790168093
14.49275,0.9793268733
14.70588,0.9796071962
14.92537,0.9799026049
15.15152,0.9802547612
15.38462,0.9814294691
15.625,0.9816697327
15.87302,0.9820701783
16.12903,0.9825150765
16.38504,0.9827501809
16.64105,0.9829745707
16.89706,0.9831888865
17.15307,0.9833937218
17.40908,0.9835896269
17.66509,0.983777113
17.9211,0.9839566552
18.17711,0.9841286956
18.43312,0.9842936459
18.68913,0.9844518901
18.94514,0.9846037865
19.20115,0.9847496698
19.45716,0.984889853
19.71317,0.985024629
19.96918,0.9851542721
20.22519,0.9852790395
20.4812,0.9853991724
20.73721,0.9855148974
20.99322,0.9856264274
21.24923,0.9857339625
21.50524,0.9858376912
21.76125,0.9859377909
22.01726,0.9860344288
22.27327,0.9861277625
22.52928,0.986217941
22.78529,0.9863051048
23.0413,0.9863893866
23.29731,0.9864709121
23.55332,0.9865498001
23.80933,0.9866261631
24.06534,0.9867001077
24.32135,0.9867717348
24.57736,0.9868411402
24.83337,0.9869084148
25.08938,0.9869736449
