G141 grating,
Wavelength,Transmission
,
1.0239,4.50E-03
1.0240,4.53E-03
1.0241,4.56E-03
1.0242,4.59E-03
1.0243,4.62E-03
1.0244,4.65E-03
1.0245,4.68E-03
1.0246,4.71E-03
1.0247,4.74E-03
1.0248,4.77E-03
1.0249,4.81E-03
1.0250,4.84E-03
1.0251,4.87E-03
1.0252,4.90E-03
1.0253,4.93E-03
1.0254,4.97E-03
1.0255,5.00E-03
1.0256,5.03E-03
1.0257,5.07E-03
1.0258,5.10E-03
1.0259,5.14E-03
1.0260,5.17E-03
1.0261,5.20E-03
1.0262,5.24E-03
1.0263,5.27E-03
1.0264,5.31E-03
1.0265,5.34E-03
1.0266,5.38E-03
1.0267,5.42E-03
1.0268,5.45E-03
1.0269,5.49E-03
1.0270,5.53E-03
1.0271,5.56E-03
1.0272,5.60E-03
1.0273,5.64E-03
1.0274,5.68E-03
1.0275,5.71E-03
1.0276,5.75E-03
1.0277,5.79E-03
1.0278,5.83E-03
1.0279,5.87E-03
1.0280,5.91E-03
1.0281,5.95E-03
1.0282,5.99E-03
1.0283,6.03E-03
1.0284,6.07E-03
1.0285,6.11E-03
1.0286,6.15E-03
1.0287,6.19E-03
1.0288,6.22E-03
1.0289,6.26E-03
1.0290,6.30E-03
1.0291,6.33E-03
1.0292,6.37E-03
1.0293,6.41E-03
1.0294,6.44E-03
1.0295,6.48E-03
1.0296,6.52E-03
1.0297,6.55E-03
1.0298,6.59E-03
1.0299,6.63E-03
1.0300,6.66E-03
1.0301,6.70E-03
1.0302,6.74E-03
1.0303,6.77E-03
1.0304,6.81E-03
1.0305,6.85E-03
1.0306,6.88E-03
1.0307,6.92E-03
1.0308,6.96E-03
1.0309,7.00E-03
1.0310,7.03E-03
1.0311,7.07E-03
1.0312,7.11E-03
1.0313,7.15E-03
1.0314,7.18E-03
1.0315,7.22E-03
1.0316,7.26E-03
1.0317,7.30E-03
1.0318,7.33E-03
1.0319,7.37E-03
1.0320,7.41E-03
1.0321,7.45E-03
1.0322,7.49E-03
1.0323,7.52E-03
1.0324,7.56E-03
1.0325,7.60E-03
1.0326,7.64E-03
1.0327,7.68E-03
1.0328,7.71E-03
1.0329,7.75E-03
1.0330,7.79E-03
1.0331,7.83E-03
1.0332,7.87E-03
1.0333,7.90E-03
1.0334,7.94E-03
1.0335,7.98E-03
1.0336,8.01E-03
1.0337,8.05E-03
1.0338,8.08E-03
1.0339,8.12E-03
1.0340,8.15E-03
1.0341,8.19E-03
1.0342,8.22E-03
1.0343,8.26E-03
1.0344,8.30E-03
1.0345,8.33E-03
1.0346,8.37E-03
1.0347,8.40E-03
1.0348,8.44E-03
1.0349,8.47E-03
1.0350,8.51E-03
1.0351,8.54E-03
1.0352,8.58E-03
1.0353,8.61E-03
1.0354,8.65E-03
1.0355,8.68E-03
1.0356,8.72E-03
1.0357,8.75E-03
1.0358,8.78E-03
1.0359,8.82E-03
1.0360,8.85E-03
1.0361,8.89E-03
1.0362,8.92E-03
1.0363,8.96E-03
1.0364,8.99E-03
1.0365,9.02E-03
1.0366,9.06E-03
1.0367,9.09E-03
1.0368,9.13E-03
1.0369,9.16E-03
1.0370,9.19E-03
1.0371,9.23E-03
1.0372,9.26E-03
1.0373,9.30E-03
1.0374,9.33E-03
1.0375,9.36E-03
1.0376,9.40E-03
1.0377,9.43E-03
1.0378,9.46E-03
1.0379,9.50E-03
1.0380,9.54E-03
1.0381,9.58E-03
1.0382,9.62E-03
1.0383,9.66E-03
1.0384,9.70E-03
1.0385,9.74E-03
1.0386,9.78E-03
1.0387,9.82E-03
1.0388,9.86E-03
1.0389,9.90E-03
1.0390,9.94E-03
1.0391,9.98E-03
1.0392,1.00E-02
1.0393,1.01E-02
1.0394,1.01E-02
1.0395,1.02E-02
1.0396,1.02E-02
1.0397,1.02E-02
1.0398,1.03E-02
1.0399,1.03E-02
1.0400,1.04E-02
1.0401,1.04E-02
1.0402,1.05E-02
1.0403,1.05E-02
1.0404,1.05E-02
