# wl, Throughput, emissivity
1.4600,0.4767,0.0000
1.4650,0.4791,0.0000
1.4700,0.4815,0.0000
1.4750,0.4839,0.0000
1.4800,0.4863,0.0000
1.4850,0.4887,0.0000
1.4900,0.4910,0.0000
1.4950,0.4933,0.0000
1.5000,0.4957,0.0000
1.5050,0.4980,0.0000
1.5100,0.5003,0.0000
1.5150,0.5026,0.0000
1.5200,0.5049,0.0000
1.5250,0.5071,0.0000
1.5300,0.5094,0.0000
1.5350,0.5116,0.0000
1.5400,0.5138,0.0000
1.5450,0.5161,0.0000
1.5500,0.5183,0.0000
1.5550,0.5204,0.0000
1.5600,0.5226,0.0000
1.5650,0.5248,0.0000
1.5700,0.5270,0.0000
1.5750,0.5291,0.0000
1.5800,0.5312,0.0000
1.5850,0.5333,0.0000
1.5900,0.5355,0.0000
1.5950,0.5376,0.0000
1.6000,0.5396,0.0000
1.6050,0.5417,0.0000
1.6100,0.5438,0.0000
1.6150,0.5458,0.0000
1.6200,0.5479,0.0000
1.6250,0.5499,0.0000
1.6300,0.5519,0.0000
1.6350,0.5539,0.0000
1.6400,0.5559,0.0000
1.6450,0.5579,0.0000
1.6500,0.5599,0.0000
1.6550,0.5618,0.0000
1.6600,0.5638,0.0000
1.6650,0.5657,0.0000
1.6700,0.5677,0.0000
1.6750,0.5696,0.0000
1.6800,0.5715,0.0000
1.6850,0.5734,0.0000
1.6900,0.5753,0.0000
1.6950,0.5772,0.0000
1.7000,0.5790,0.0000
1.7050,0.5809,0.0000
1.7100,0.5827,0.0000
1.7150,0.5846,0.0000
1.7200,0.5864,0.0000
1.7250,0.5882,0.0000
1.7300,0.5900,0.0000
1.7350,0.5918,0.0000
1.7400,0.5936,0.0000
1.7450,0.5954,0.0000
1.7500,0.5971,0.0000
1.7550,0.5989,0.0000
1.7600,0.6006,0.0000
1.7650,0.6024,0.0000
1.7700,0.6041,0.0000
1.7750,0.6058,0.0000
1.7800,0.6075,0.0000
1.7850,0.6092,0.0000
1.7900,0.6109,0.0000
1.7950,0.6126,0.0000
1.8000,0.6142,0.0000
1.8050,0.6159,0.0000
1.8100,0.6175,0.0000
1.8150,0.6192,0.0000
1.8200,0.6208,0.0000
1.8250,0.6224,0.0000
1.8300,0.6240,0.0000
1.8350,0.6256,0.0000
1.8400,0.6272,0.0000
1.8450,0.6288,0.0000
1.8500,0.6304,0.0000
1.8550,0.6320,0.0000
1.8600,0.6335,0.0000
1.8650,0.6351,0.0000
1.8700,0.6366,0.0000
1.8750,0.6382,0.0000
1.8800,0.6397,0.0000
1.8850,0.6412,0.0000
1.8900,0.6427,0.0000
1.8950,0.6442,0.0000
1.9000,0.6457,0.0000
1.9050,0.6472,0.0000
1.9100,0.6486,0.0000
1.9150,0.6501,0.0000
1.9200,0.6516,0.0000
1.9250,0.6530,0.0000
1.9300,0.6545,0.0000
1.9350,0.6559,0.0000
1.9400,0.6573,0.0000
1.9450,0.6587,0.0000
1.9500,0.6601,0.0000
1.9550,0.6616,0.0000
1.9600,0.6629,0.0000
1.9650,0.6643,0.0000
1.9700,0.6657,0.0000
1.9750,0.6671,0.0000
1.9800,0.6684,0.0000
1.9850,0.6698,0.0000
1.9900,0.6712,0.0000
1.9950,0.6725,0.0000
2.0000,0.6738,0.0000
2.0050,0.6752,0.0000
2.0100,0.6765,0.0000
2.0150,0.6778,0.0000
2.0200,0.6791,0.0000
2.0250,0.6804,0.0000
2.0300,0.6817,0.0000
2.0350,0.6830,0.0000
2.0400,0.6842,0.0000
2.0450,0.6855,0.0000
2.0500,0.6868,0.0000
2.0550,0.6880,0.0000
2.0600,0.6893,0.0000
2.0650,0.6905,0.0000
2.0700,0.6917,0.0000
2.0750,0.6930,0.0000
2.0800,0.6942,0.0000
2.0850,0.6954,0.0000
2.0900,0.6966,0.0000
2.0950,0.6978,0.0000
2.1000,0.6990,0.0000
2.1050,0.7002,0.0000
2.1100,0.7014,0.0000
2.1150,0.7026,0.0000
2.1200,0.7037,0.0000
2.1250,0.7049,0.0000
2.1300,0.7061,0.0000
2.1350,0.7072,0.0000
2.1400,0.7083,0.0000
2.1450,0.7095,0.0000
2.1500,0.7106,0.0000
2.1550,0.7117,0.0000
2.1600,0.7129,0.0000
2.1650,0.7140,0.0000
2.1700,0.7151,0.0000
2.1750,0.7162,0.0000
2.1800,0.7173,0.0000
2.1850,0.7184,0.0000
2.1900,0.7195,0.0000
2.1950,0.7205,0.0000
2.2000,0.7216,0.0000
2.2050,0.7227,0.0000
2.2100,0.7237,0.0000
2.2150,0.7248,0.0000
2.2200,0.7258,0.0000
2.2250,0.7269,0.0000
2.2300,0.7279,0.0000
2.2350,0.7290,0.0000
2.2400,0.7300,0.0000
2.2450,0.7310,0.0000
