# lambda [um], beta [deg], x [micron]
1.277477477,205.8292773,205.8292773
1.278678679,204.8797815,204.8797815
1.27987988,203.9317308,203.9317308
1.281081081,202.9851171,202.9851171
1.282282282,202.0399321,202.0399321
1.283483483,201.0961679,201.0961679
1.284684685,200.1538163,200.1538163
1.285885886,199.2128693,199.2128693
1.287087087,198.2733192,198.2733192
1.288288288,197.3351579,197.3351579
1.289489489,196.3983776,196.3983776
1.290690691,195.4629705,195.4629705
1.291891892,194.528929,194.528929
1.293093093,193.5962452,193.5962452
1.294294294,192.6649116,192.6649116
1.295495495,191.7349206,191.7349206
1.296696697,190.8062647,190.8062647
1.297897898,189.8789363,189.8789363
1.299099099,188.9529279,188.9529279
1.3003003,188.0282323,188.0282323
1.301501502,187.104842,187.104842
1.302702703,186.1827497,186.1827497
1.303903904,185.2619482,185.2619482
1.305105105,184.3424302,184.3424302
1.306306306,183.4241886,183.4241886
1.307507508,182.5072163,182.5072163
1.308708709,181.5915061,181.5915061
1.30990991,180.6770511,180.6770511
1.311111111,179.7638442,179.7638442
1.312312312,178.8518785,178.8518785
1.313513514,177.9411472,177.9411472
1.314714715,177.0316432,177.0316432
1.315915916,176.1233599,176.1233599
1.317117117,175.2162904,175.2162904
1.318318318,174.3104281,174.3104281
1.31951952,173.4057662,173.4057662
1.320720721,172.5022981,172.5022981
1.321921922,171.6000172,171.6000172
1.323123123,170.6989169,170.6989169
1.324324324,169.7989907,169.7989907
1.325525526,168.9002322,168.9002322
1.326726727,168.0026348,168.0026348
1.327927928,167.1061923,167.1061923
1.329129129,166.2108982,166.2108982
1.33033033,165.3167463,165.3167463
1.331531532,164.4237302,164.4237302
1.332732733,163.5318437,163.5318437
1.333933934,162.6410807,162.6410807
1.335135135,161.7514349,161.7514349
1.336336336,160.8629003,160.8629003
1.337537538,159.9754708,159.9754708
1.338738739,159.0891403,159.0891403
1.33993994,158.2039028,158.2039028
1.341141141,157.3197524,157.3197524
1.342342342,156.4366831,156.4366831
1.343543544,155.5546891,155.5546891
1.344744745,154.6737645,154.6737645
1.345945946,153.7939034,153.7939034
1.347147147,152.9151002,152.9151002
1.348348348,152.037349,152.037349
1.34954955,151.1606442,151.1606442
1.350750751,150.2849801,150.2849801
1.351951952,149.410351,149.410351
1.353153153,148.5367514,148.5367514
1.354354354,147.6641756,147.6641756
1.355555556,146.7926182,146.7926182
1.356756757,145.9220737,145.9220737
1.357957958,145.0525365,145.0525365
1.359159159,144.1840014,144.1840014
1.36036036,143.3164628,143.3164628
1.361561562,142.4499154,142.4499154
1.362762763,141.5843539,141.5843539
1.363963964,140.719773,140.719773
1.365165165,139.8561675,139.8561675
1.366366366,138.9935321,138.9935321
1.367567568,138.1318616,138.1318616
1.368768769,137.2711509,137.2711509
1.36996997,136.4113948,136.4113948
1.371171171,135.5525882,135.5525882
1.372372372,134.6947261,134.6947261
1.373573574,133.8378035,133.8378035
1.374774775,132.9818153,132.9818153
1.375975976,132.1267565,132.1267565
1.377177177,131.2726222,131.2726222
1.378378378,130.4194076,130.4194076
1.37957958,129.5671076,129.5671076
1.380780781,128.7157176,128.7157176
1.381981982,127.8652325,127.8652325
1.383183183,127.0156478,127.0156478
1.384384384,126.1669585,126.1669585
1.385585586,125.31916,125.31916
1.386786787,124.4722475,124.4722475
1.387987988,123.6262165,123.6262165
1.389189189,122.7810621,122.7810621
1.39039039,121.9367799,121.9367799
1.391591592,121.0933651,121.0933651
1.392792793,120.2508134,120.2508134
1.393993994,119.40912,119.40912
1.395195195,118.5682805,118.5682805
1.396396396,117.7282905,117.7282905
1.397597598,116.8891455,116.8891455
1.398798799,116.050841,116.050841
1.4,115.2133726,115.2133726
1.401201201,114.376736,114.376736
1.402402402,113.5409269,113.5409269
1.403603604,112.7059408,112.7059408
1.404804805,111.8717735,111.8717735
1.406006006,111.0384208,111.0384208
1.407207207,110.2058783,110.2058783
1.408408408,109.3741419,109.3741419
1.40960961,108.5432073,108.5432073
1.410810811,107.7130705,107.7130705
1.412012012,106.8837272,106.8837272
1.413213213,106.0551733,106.0551733
1.414414414,105.2274047,105.2274047
1.415615616,104.4004174,104.4004174
1.416816817,103.5742073,103.5742073
1.418018018,102.7487703,102.7487703
1.419219219,101.9241025,101.9241025
1.42042042,101.1001999,101.1001999
1.421621622,100.2770585,100.2770585
1.422822823,99.45467442,99.45467442
1.424024024,98.6330437,98.6330437
1.425225225,97.81216247,97.81216247
1.426426426,96.99202685,96.99202685
1.427627628,96.17263301,96.17263301
1.428828829,95.35397712,95.35397712
1.43003003,94.53605537,94.53605537
1.431231231,93.71886398,93.71886398
1.432432432,92.90239919,92.90239919
1.433633634,92.08665727,92.08665727
1.434834835,91.2716345,91.2716345
1.436036036,90.45732718,90.45732718
1.437237237,89.64373162,89.64373162
1.438438438,88.83084419,88.83084419
1.43963964,88.01866123,88.01866123
1.440840841,87.20717914,87.20717914
1.442042042,86.39639431,86.39639431
1.443243243,85.58630318,85.58630318
1.444444444,84.77690218,84.77690218
1.445645646,83.96818777,83.96818777
1.446846847,83.16015645,83.16015645
1.448048048,82.3528047,82.3528047
1.449249249,81.54612904,81.54612904
1.45045045,80.74012603,80.74012603
1.451651652,79.9347922,79.9347922
1.452852853,79.13012415,79.13012415
1.454054054,78.32611845,78.32611845
1.455255255,77.52277172,77.52277172
1.456456456,76.72008059,76.72008059
1.457657658,75.9180417,75.9180417
1.458858859,75.11665173,75.11665173
1.46006006,74.31590734,74.31590734
1.461261261,73.51580525,73.51580525
1.462462462,72.71634215,72.71634215
1.463663664,71.9175148,71.9175148
1.464864865,71.11931993,71.11931993
1.466066066,70.32175431,70.32175431
1.467267267,69.52481473,69.52481473
1.468468468,68.72849798,68.72849798
1.46966967,67.93280087,67.93280087
1.470870871,67.13772024,67.13772024
1.472072072,66.34325293,66.34325293
1.473273273,65.54939581,65.54939581
1.474474474,64.75614575,64.75614575
1.475675676,63.96349964,63.96349964
1.476876877,63.1714544,63.1714544
1.478078078,62.38000694,62.38000694
1.479279279,61.5891542,61.5891542
1.48048048,60.79889314,60.79889314
1.481681682,60.00922072,60.00922072
1.482882883,59.22013393,59.22013393
1.484084084,58.43162976,58.43162976
1.485285285,57.64370521,57.64370521
1.486486486,56.85635732,56.85635732
1.487687688,56.06958313,56.06958313
1.488888889,55.28337968,55.28337968
1.49009009,54.49774404,54.49774404
1.491291291,53.71267329,53.71267329
1.492492492,52.92816453,52.92816453
1.493693694,52.14421485,52.14421485
1.494894895,51.36082138,51.36082138
1.496096096,50.57798125,50.57798125
1.497297297,49.7956916,49.7956916
1.498498498,49.01394959,49.01394959
1.4996997,48.2327524,48.2327524
1.500900901,47.4520972,47.4520972
1.502102102,46.67198119,46.67198119
1.503303303,45.89240157,45.89240157
1.504504505,45.11335557,45.11335557
1.505705706,44.33484042,44.33484042
1.506906907,43.55685336,43.55685336
1.508108108,42.77939164,42.77939164
1.509309309,42.00245253,42.00245253
1.510510511,41.22603331,41.22603331
1.511711712,40.45013127,40.45013127
1.512912913,39.67474371,39.67474371
1.514114114,38.89986793,38.89986793
1.515315315,38.12550127,38.12550127
1.516516517,37.35164106,37.35164106
1.517717718,36.57828463,36.57828463
1.518918919,35.80542935,35.80542935
1.52012012,35.03307258,35.03307258
1.521321321,34.2612117,34.2612117
1.522522523,33.48984408,33.48984408
1.523723724,32.71896714,32.71896714
1.524924925,31.94857828,31.94857828
1.526126126,31.1786749,31.1786749
1.527327327,30.40925445,30.40925445
1.528528529,29.64031434,29.64031434
1.52972973,28.87185204,28.87185204
1.530930931,28.103865,28.103865
1.532132132,27.33635068,27.33635068
1.533333333,26.56930656,26.56930656
1.534534535,25.80273011,25.80273011
1.535735736,25.03661884,25.03661884
1.536936937,24.27097024,24.27097024
1.538138138,23.50578183,23.50578183
1.539339339,22.74105112,22.74105112
1.540540541,21.97677565,21.97677565
1.541741742,21.21295295,21.21295295
1.542942943,20.44958057,20.44958057
1.544144144,19.68665606,19.68665606
1.545345345,18.92417698,18.92417698
1.546546547,18.16214091,18.16214091
1.547747748,17.40054543,17.40054543
1.548948949,16.63938812,16.63938812
1.55015015,15.87866658,15.87866658
1.551351351,15.11837841,15.11837841
1.552552553,14.35852123,14.35852123
1.553753754,13.59909265,13.59909265
1.554954955,12.8400903,12.8400903
1.556156156,12.08151181,12.08151181
1.557357357,11.32335484,11.32335484
1.558558559,10.56561702,10.56561702
1.55975976,9.808296013,9.808296013
1.560960961,9.051389487,9.051389487
1.562162162,8.294895111,8.294895111
1.563363363,7.538810565,7.538810565
1.564564565,6.783133533,6.783133533
1.565765766,6.027861709,6.027861709
1.566966967,5.272992794,5.272992794
1.568168168,4.518524492,4.518524492
1.569369369,3.764454518,3.764454518
1.570570571,3.010780592,3.010780592
1.571771772,2.257500441,2.257500441
1.572972973,1.504611797,1.504611797
1.574174174,0.752112402,0.752112402
1.575375375,0,0
1.576576577,-0.751727655,-0.751727655
1.577777778,-1.503072805,-1.503072805
1.578978979,-2.254037684,-2.254037684
1.58018018,-3.004624521,-3.004624521
1.581381381,-3.754835539,-3.754835539
1.582582583,-4.504672955,-4.504672955
1.583783784,-5.254138978,-5.254138978
1.584984985,-6.003235814,-6.003235814
1.586186186,-6.751965661,-6.751965661
1.587387387,-7.500330713,-7.500330713
1.588588589,-8.248333157,-8.248333157
1.58978979,-8.995975174,-8.995975174
1.590990991,-9.74325894,-9.74325894
1.592192192,-10.49018663,-10.49018663
1.593393393,-11.2367604,-11.2367604
1.594594595,-11.98298241,-11.98298241
1.595795796,-12.72885482,-12.72885482
1.596996997,-13.47437978,-13.47437978
1.598198198,-14.21955943,-14.21955943
1.599399399,-14.96439591,-14.96439591
1.600600601,-15.70889135,-15.70889135
1.601801802,-16.45304787,-16.45304787
1.603003003,-17.19686761,-17.19686761
1.604204204,-17.94035268,-17.94035268
1.605405405,-18.68350518,-18.68350518
1.606606607,-19.42632724,-19.42632724
1.607807808,-20.16882095,-20.16882095
1.609009009,-20.9109884,-20.9109884
1.61021021,-21.6528317,-21.6528317
1.611411411,-22.39435292,-22.39435292
1.612612613,-23.13555416,-23.13555416
1.613813814,-23.87643748,-23.87643748
1.615015015,-24.61700498,-24.61700498
1.616216216,-25.3572587,-25.3572587
1.617417417,-26.09720072,-26.09720072
1.618618619,-26.8368331,-26.8368331
1.61981982,-27.57615789,-27.57615789
1.621021021,-28.31517714,-28.31517714
1.622222222,-29.0538929,-29.0538929
1.623423423,-29.79230721,-29.79230721
1.624624625,-30.53042211,-30.53042211
1.625825826,-31.26823963,-31.26823963
1.627027027,-32.0057618,-32.0057618
1.628228228,-32.74299063,-32.74299063
1.629429429,-33.47992816,-33.47992816
1.630630631,-34.2165764,-34.2165764
1.631831832,-34.95293735,-34.95293735
1.633033033,-35.68901303,-35.68901303
1.634234234,-36.42480543,-36.42480543
1.635435435,-37.16031656,-37.16031656
1.636636637,-37.89554841,-37.89554841
1.637837838,-38.63050296,-38.63050296
1.639039039,-39.36518221,-39.36518221
1.64024024,-40.09958813,-40.09958813
1.641441441,-40.8337227,-40.8337227
1.642642643,-41.5675879,-41.5675879
1.643843844,-42.30118569,-42.30118569
1.645045045,-43.03451804,-43.03451804
1.646246246,-43.76758691,-43.76758691
1.647447447,-44.50039425,-44.50039425
1.648648649,-45.23294203,-45.23294203
1.64984985,-45.96523217,-45.96523217
1.651051051,-46.69726664,-46.69726664
1.652252252,-47.42904737,-47.42904737
1.653453453,-48.1605763,-48.1605763
1.654654655,-48.89185535,-48.89185535
1.655855856,-49.62288647,-49.62288647
1.657057057,-50.35367156,-50.35367156
1.658258258,-51.08421255,-51.08421255
1.659459459,-51.81451137,-51.81451137
1.660660661,-52.54456991,-52.54456991
1.661861862,-53.27439008,-53.27439008
1.663063063,-54.0039738,-54.0039738
1.664264264,-54.73332296,-54.73332296
1.665465465,-55.46243946,-55.46243946
1.666666667,-56.19132518,-56.19132518
1.667867868,-56.91998202,-56.91998202
1.669069069,-57.64841185,-57.64841185
1.67027027,-58.37661657,-58.37661657
1.671471471,-59.10459803,-59.10459803
1.672672673,-59.83235813,-59.83235813
1.673873874,-60.55989871,-60.55989871
1.675075075,-61.28722165,-61.28722165
1.676276276,-62.01432881,-62.01432881
1.677477477,-62.74122203,-62.74122203
1.678678679,-63.46790317,-63.46790317
1.67987988,-64.19437408,-64.19437408
1.681081081,-64.92063659,-64.92063659
1.682282282,-65.64669255,-65.64669255
1.683483483,-66.37254379,-66.37254379
1.684684685,-67.09819215,-67.09819215
1.685885886,-67.82363943,-67.82363943
1.687087087,-68.54888747,-68.54888747
1.688288288,-69.27393808,-69.27393808
1.689489489,-69.99879308,-69.99879308
1.690690691,-70.72345427,-70.72345427
1.691891892,-71.44792346,-71.44792346
1.693093093,-72.17220244,-72.17220244
1.694294294,-72.89629301,-72.89629301
1.695495495,-73.62019696,-73.62019696
1.696696697,-74.34391608,-74.34391608
1.697897898,-75.06745215,-75.06745215
1.699099099,-75.79080694,-75.79080694
1.7003003,-76.51398223,-76.51398223
1.701501502,-77.23697978,-77.23697978
1.702702703,-77.95980136,-77.95980136
1.703903904,-78.68244872,-78.68244872
1.705105105,-79.40492363,-79.40492363
1.706306306,-80.12722782,-80.12722782
1.707507508,-80.84936304,-80.84936304
1.708708709,-81.57133103,-81.57133103
1.70990991,-82.29313353,-82.29313353
1.711111111,-83.01477226,-83.01477226
1.712312312,-83.73624895,-83.73624895
1.713513514,-84.45756532,-84.45756532
1.714714715,-85.17872308,-85.17872308
1.715915916,-85.89972395,-85.89972395
1.717117117,-86.62056962,-86.62056962
1.718318318,-87.34126179,-87.34126179
1.71951952,-88.06180216,-88.06180216
1.720720721,-88.78219242,-88.78219242
1.721921922,-89.50243425,-89.50243425
1.723123123,-90.22252933,-90.22252933
1.724324324,-90.94247933,-90.94247933
1.725525526,-91.66228591,-91.66228591
1.726726727,-92.38195075,-92.38195075
1.727927928,-93.10147549,-93.10147549
1.729129129,-93.82086178,-93.82086178
1.73033033,-94.54011127,-94.54011127
1.731531532,-95.2592256,-95.2592256
1.732732733,-95.9782064,-95.9782064
1.733933934,-96.6970553,-96.6970553
1.735135135,-97.41577392,-97.41577392
1.736336336,-98.13436388,-98.13436388
1.737537538,-98.85282677,-98.85282677
1.738738739,-99.57116422,-99.57116422
1.73993994,-100.2893778,-100.2893778
1.741141141,-101.0074691,-101.0074691
1.742342342,-101.7254398,-101.7254398
1.743543544,-102.4432913,-102.4432913
1.744744745,-103.1610253,-103.1610253
1.745945946,-103.8786433,-103.8786433
1.747147147,-104.596147,-104.596147
1.748348348,-105.3135377,-105.3135377
1.74954955,-106.0308172,-106.0308172
1.750750751,-106.7479869,-106.7479869
1.751951952,-107.4650483,-107.4650483
1.753153153,-108.182003,-108.182003
1.754354354,-108.8988526,-108.8988526
1.755555556,-109.6155984,-109.6155984
1.756756757,-110.3322421,-110.3322421
1.757957958,-111.048785,-111.048785
1.759159159,-111.7652288,-111.7652288
1.76036036,-112.4815748,-112.4815748
1.761561562,-113.1978246,-113.1978246
1.762762763,-113.9139796,-113.9139796
1.763963964,-114.6300413,-114.6300413
1.765165165,-115.3460112,-115.3460112
1.766366366,-116.0618906,-116.0618906
1.767567568,-116.777681,-116.777681
1.768768769,-117.4933838,-117.4933838
1.76996997,-118.2090005,-118.2090005
1.771171171,-118.9245325,-118.9245325
1.772372372,-119.6399811,-119.6399811
1.773573574,-120.3553478,-120.3553478
1.774774775,-121.0706339,-121.0706339
1.775975976,-121.7858409,-121.7858409
1.777177177,-122.5009701,-122.5009701
1.778378378,-123.2160228,-123.2160228
1.77957958,-123.9310005,-123.9310005
1.780780781,-124.6459043,-124.6459043
1.781981982,-125.3607358,-125.3607358
1.783183183,-126.0754962,-126.0754962
1.784384384,-126.7901868,-126.7901868
1.785585586,-127.5048089,-127.5048089
1.786786787,-128.2193639,-128.2193639
1.787987988,-128.933853,-128.933853
1.789189189,-129.6482774,-129.6482774
1.79039039,-130.3626386,-130.3626386
1.791591592,-131.0769376,-131.0769376
1.792792793,-131.7911758,-131.7911758
1.793993994,-132.5053544,-132.5053544
1.795195195,-133.2194747,-133.2194747
1.796396396,-133.9335377,-133.9335377
1.797597598,-134.6475449,-134.6475449
1.798798799,-135.3614973,-135.3614973
1.8,-136.0753961,-136.0753961
1.801201201,-136.7892426,-136.7892426
1.802402402,-137.5030378,-137.5030378
1.803603604,-138.216783,-138.216783
1.804804805,-138.9304792,-138.9304792
1.806006006,-139.6441277,-139.6441277
1.807207207,-140.3577295,-140.3577295
1.808408408,-141.0712857,-141.0712857
1.80960961,-141.7847975,-141.7847975
1.810810811,-142.4982659,-142.4982659
1.812012012,-143.211692,-143.211692
1.813213213,-143.9250768,-143.9250768
1.814414414,-144.6384215,-144.6384215
1.815615616,-145.351727,-145.351727
1.816816817,-146.0649943,-146.0649943
1.818018018,-146.7782246,-146.7782246
1.819219219,-147.4914188,-147.4914188
1.82042042,-148.2045778,-148.2045778
1.821621622,-148.9177027,-148.9177027
1.822822823,-149.6307944,-149.6307944
1.824024024,-150.3438539,-150.3438539
1.825225225,-151.0568821,-151.0568821
1.826426426,-151.7698799,-151.7698799
1.827627628,-152.4828483,-152.4828483
1.828828829,-153.1957881,-153.1957881
1.83003003,-153.9087002,-153.9087002
1.831231231,-154.6215855,-154.6215855
1.832432432,-155.3344449,-155.3344449
1.833633634,-156.0472792,-156.0472792
1.834834835,-156.7600891,-156.7600891
1.836036036,-157.4728756,-157.4728756
1.837237237,-158.1856394,-158.1856394
1.838438438,-158.8983814,-158.8983814
1.83963964,-159.6111022,-159.6111022
1.840840841,-160.3238026,-160.3238026
1.842042042,-161.0364834,-161.0364834
1.843243243,-161.7491453,-161.7491453
1.844444444,-162.461789,-162.461789
1.845645646,-163.1744152,-163.1744152
1.846846847,-163.8870246,-163.8870246
1.848048048,-164.5996179,-164.5996179
1.849249249,-165.3121956,-165.3121956
1.85045045,-166.0247584,-166.0247584
1.851651652,-166.7373069,-166.7373069
1.852852853,-167.4498418,-167.4498418
1.854054054,-168.1623635,-168.1623635
1.855255255,-168.8748728,-168.8748728
1.856456456,-169.58737,-169.58737
1.857657658,-170.2998558,-170.2998558
1.858858859,-171.0123306,-171.0123306
1.86006006,-171.724795,-171.724795
1.861261261,-172.4372494,-172.4372494
1.862462462,-173.1496943,-173.1496943
1.863663664,-173.8621301,-173.8621301
1.864864865,-174.5745573,-174.5745573
1.866066066,-175.2869762,-175.2869762
1.867267267,-175.9993873,-175.9993873
1.868468468,-176.7117909,-176.7117909
1.86966967,-177.4241873,-177.4241873
1.870870871,-178.136577,-178.136577
1.872072072,-178.8489601,-178.8489601
1.873273273,-179.5613371,-179.5613371
1.874474474,-180.2737081,-180.2737081
1.875675676,-180.9860735,-180.9860735
1.876876877,-181.6984334,-181.6984334
1.878078078,-182.4107881,-182.4107881
1.879279279,-183.1231378,-183.1231378
1.88048048,-183.8354826,-183.8354826
1.881681682,-184.5478227,-184.5478227
1.882882883,-185.2601583,-185.2601583
1.884084084,-185.9724894,-185.9724894
1.885285285,-186.6848161,-186.6848161
1.886486486,-187.3971386,-187.3971386
1.887687688,-188.1094568,-188.1094568
1.888888889,-188.8217708,-188.8217708
1.89009009,-189.5340806,-189.5340806
1.891291291,-190.2463862,-190.2463862
1.892492492,-190.9586875,-190.9586875
1.893693694,-191.6709845,-191.6709845
1.894894895,-192.3832771,-192.3832771
1.896096096,-193.0955652,-193.0955652
1.897297297,-193.8078487,-193.8078487
1.898498498,-194.5201274,-194.5201274
