# lambda [um], beta [deg], x [micron]
4.000000e-01,3.821110e+00,7.640777e+03
4.050000e-01,3.759838e+00,7.517899e+03
4.100000e-01,3.701012e+00,7.399946e+03
4.150000e-01,3.644500e+00,7.286646e+03
4.200000e-01,3.590176e+00,7.177746e+03
4.250000e-01,3.537923e+00,7.073010e+03
4.300000e-01,3.487632e+00,6.972218e+03
4.350000e-01,3.439202e+00,6.875165e+03
4.400000e-01,3.392537e+00,6.781659e+03
4.450000e-01,3.347549e+00,6.691521e+03
4.500000e-01,3.304153e+00,6.604583e+03
4.550000e-01,3.262273e+00,6.520687e+03
4.600000e-01,3.221835e+00,6.439686e+03
4.650000e-01,3.182769e+00,6.361441e+03
4.700000e-01,3.145011e+00,6.285822e+03
4.750000e-01,3.108501e+00,6.212705e+03
4.800000e-01,3.073180e+00,6.141976e+03
4.850000e-01,3.038994e+00,6.073525e+03
4.900000e-01,3.005894e+00,6.007250e+03
4.950000e-01,2.973830e+00,5.943055e+03
5.000000e-01,2.942757e+00,5.880847e+03
5.050000e-01,2.912631e+00,5.820540e+03
5.100000e-01,2.883414e+00,5.762052e+03
5.150000e-01,2.855065e+00,5.705307e+03
5.200000e-01,2.827548e+00,5.650230e+03
5.250000e-01,2.800829e+00,5.596753e+03
5.300000e-01,2.774876e+00,5.544810e+03
5.350000e-01,2.749656e+00,5.494337e+03
5.400000e-01,2.725140e+00,5.445276e+03
5.450000e-01,2.701301e+00,5.397571e+03
5.500000e-01,2.678112e+00,5.351168e+03
5.550000e-01,2.655547e+00,5.306015e+03
5.600000e-01,2.633582e+00,5.262066e+03
5.650000e-01,2.612194e+00,5.219272e+03
5.700000e-01,2.591362e+00,5.177591e+03
5.750000e-01,2.571064e+00,5.136981e+03
5.800000e-01,2.551281e+00,5.097401e+03
5.850000e-01,2.531993e+00,5.058814e+03
5.900000e-01,2.513182e+00,5.021183e+03
5.950000e-01,2.494832e+00,4.984474e+03
6.000000e-01,2.476925e+00,4.948653e+03
6.050000e-01,2.459446e+00,4.913688e+03
6.100000e-01,2.442380e+00,4.879550e+03
6.150000e-01,2.425712e+00,4.846209e+03
6.200000e-01,2.409428e+00,4.813639e+03
6.250000e-01,2.393516e+00,4.781811e+03
6.300000e-01,2.377961e+00,4.750700e+03
6.350000e-01,2.362753e+00,4.720284e+03
6.400000e-01,2.347880e+00,4.690537e+03
6.450000e-01,2.333331e+00,4.661437e+03
6.500000e-01,2.319094e+00,4.632964e+03
6.550000e-01,2.305159e+00,4.605096e+03
6.600000e-01,2.291517e+00,4.577814e+03
6.650000e-01,2.278158e+00,4.551099e+03
6.700000e-01,2.265074e+00,4.524932e+03
6.750000e-01,2.252254e+00,4.499296e+03
6.800000e-01,2.239692e+00,4.474174e+03
6.850000e-01,2.227378e+00,4.449550e+03
6.900000e-01,2.215305e+00,4.425409e+03
6.950000e-01,2.203465e+00,4.401734e+03
7.000000e-01,2.191852e+00,4.378513e+03
7.050000e-01,2.180459e+00,4.355730e+03
7.100000e-01,2.169278e+00,4.333374e+03
7.150000e-01,2.158303e+00,4.311429e+03
7.200000e-01,2.147528e+00,4.289886e+03
