# lambda [um], beta [deg], x [micron]
1.060000e+00,4.358737e-02,1.369338e+02
1.065000e+00,4.329030e-02,1.360005e+02
1.070000e+00,4.299182e-02,1.350628e+02
1.075000e+00,4.269194e-02,1.341207e+02
1.080000e+00,4.239067e-02,1.331742e+02
1.085000e+00,4.208800e-02,1.322234e+02
1.090000e+00,4.178393e-02,1.312681e+02
1.095000e+00,4.147847e-02,1.303085e+02
1.100000e+00,4.117160e-02,1.293444e+02
1.105000e+00,4.086334e-02,1.283760e+02
1.110000e+00,4.055368e-02,1.274032e+02
1.115000e+00,4.024262e-02,1.264259e+02
1.120000e+00,3.993016e-02,1.254443e+02
1.125000e+00,3.961631e-02,1.244583e+02
1.130000e+00,3.930105e-02,1.234679e+02
1.135000e+00,3.898440e-02,1.224731e+02
1.140000e+00,3.866635e-02,1.214740e+02
1.145000e+00,3.834691e-02,1.204704e+02
1.150000e+00,3.802606e-02,1.194624e+02
1.155000e+00,3.770382e-02,1.184501e+02
1.160000e+00,3.738018e-02,1.174333e+02
1.165000e+00,3.705514e-02,1.164122e+02
1.170000e+00,3.672870e-02,1.153866e+02
1.175000e+00,3.640087e-02,1.143567e+02
1.180000e+00,3.607164e-02,1.133224e+02
1.185000e+00,3.574100e-02,1.122837e+02
1.190000e+00,3.540898e-02,1.112406e+02
1.195000e+00,3.507555e-02,1.101931e+02
1.200000e+00,3.474072e-02,1.091412e+02
1.205000e+00,3.440450e-02,1.080849e+02
1.210000e+00,3.406688e-02,1.070243e+02
1.215000e+00,3.372786e-02,1.059592e+02
1.220000e+00,3.338744e-02,1.048898e+02
1.225000e+00,3.304563e-02,1.038159e+02
1.230000e+00,3.270241e-02,1.027377e+02
1.235000e+00,3.235780e-02,1.016550e+02
1.240000e+00,3.201179e-02,1.005680e+02
1.245000e+00,3.166439e-02,9.947661e+01
1.250000e+00,3.131558e-02,9.838081e+01
1.255000e+00,3.096538e-02,9.728061e+01
1.260000e+00,3.061378e-02,9.617603e+01
1.265000e+00,3.026078e-02,9.506704e+01
1.270000e+00,2.990638e-02,9.395367e+01
1.275000e+00,2.955058e-02,9.283591e+01
1.280000e+00,2.919339e-02,9.171375e+01
1.285000e+00,2.883480e-02,9.058720e+01
1.290000e+00,2.847481e-02,8.945626e+01
1.295000e+00,2.811342e-02,8.832093e+01
1.300000e+00,2.775064e-02,8.718121e+01
1.305000e+00,2.738645e-02,8.603709e+01
1.310000e+00,2.702087e-02,8.488858e+01
1.315000e+00,2.665389e-02,8.373568e+01
1.320000e+00,2.628552e-02,8.257839e+01
1.325000e+00,2.591574e-02,8.141671e+01
1.330000e+00,2.554457e-02,8.025063e+01
1.335000e+00,2.517200e-02,7.908016e+01
1.340000e+00,2.479803e-02,7.790530e+01
1.345000e+00,2.442266e-02,7.672605e+01
1.350000e+00,2.404589e-02,7.554240e+01
1.355000e+00,2.366773e-02,7.435437e+01
1.360000e+00,2.328817e-02,7.316194e+01
1.365000e+00,2.290721e-02,7.196512e+01
