# wl, TX, emissivity
1.73,0.90,0.03
1.73,0.90,0.03
1.74,0.90,0.03
1.74,0.90,0.03
1.75,0.90,0.03
1.75,0.90,0.03
1.76,0.90,0.03
1.76,0.90,0.03
1.77,0.90,0.03
1.77,0.90,0.03
1.78,0.90,0.03
1.78,0.90,0.03
1.79,0.90,0.03
1.79,0.90,0.03
1.80,0.90,0.03
1.80,0.90,0.03
1.81,0.90,0.03
1.81,0.90,0.03
1.82,0.90,0.03
1.82,0.90,0.03
1.83,0.90,0.03
1.83,0.90,0.03
1.84,0.90,0.03
1.84,0.90,0.03
1.85,0.90,0.03
1.85,0.90,0.03
1.86,0.90,0.03
1.86,0.90,0.03
1.87,0.90,0.03
1.87,0.90,0.03
1.88,0.90,0.03
1.88,0.90,0.03
1.89,0.90,0.03
1.89,0.90,0.03
1.90,0.90,0.03
1.90,0.90,0.03
1.91,0.90,0.03
1.91,0.90,0.03
1.92,0.90,0.03
1.92,0.90,0.03
1.93,0.90,0.03
1.93,0.90,0.03
1.94,0.90,0.03
1.94,0.90,0.03
1.95,0.90,0.03
1.95,0.90,0.03
1.96,0.90,0.03
1.96,0.90,0.03
1.97,0.90,0.03
1.97,0.90,0.03
1.98,0.90,0.03
1.98,0.90,0.03
1.99,0.90,0.03
1.99,0.90,0.03
2.00,0.90,0.03
2.00,0.90,0.03
2.01,0.90,0.03
2.01,0.90,0.03
2.02,0.90,0.03
2.02,0.90,0.03
2.03,0.90,0.03
2.03,0.90,0.03
2.04,0.90,0.03
2.04,0.90,0.03
2.05,0.90,0.03
2.05,0.90,0.03
2.06,0.90,0.03
2.06,0.90,0.03
2.07,0.90,0.03
2.07,0.90,0.03
2.08,0.90,0.03
2.08,0.90,0.03
2.09,0.90,0.03
2.09,0.90,0.03
2.10,0.90,0.03
2.10,0.90,0.03
2.11,0.90,0.03
2.11,0.90,0.03
2.12,0.90,0.03
2.12,0.90,0.03
2.13,0.90,0.03
2.13,0.90,0.03
2.14,0.90,0.03
2.14,0.90,0.03
2.15,0.90,0.03
2.15,0.90,0.03
2.16,0.90,0.03
2.16,0.90,0.03
2.17,0.90,0.03
2.17,0.90,0.03
2.18,0.90,0.03
2.18,0.90,0.03
2.19,0.90,0.03
2.19,0.90,0.03
2.20,0.90,0.03
2.20,0.90,0.03
2.21,0.90,0.03
2.21,0.90,0.03
2.22,0.90,0.03
2.22,0.90,0.03
2.23,0.90,0.03
2.23,0.90,0.03
2.24,0.90,0.03
2.24,0.90,0.03
2.25,0.90,0.03
2.25,0.90,0.03
2.26,0.90,0.03
2.26,0.90,0.03
2.27,0.90,0.03
2.27,0.90,0.03
2.28,0.90,0.03
2.28,0.90,0.03
