# lambda [um], beta [deg], x [micron]
1.060000e+00,1.161798e+00,1.155959e+03
1.065000e+00,1.161039e+00,1.155203e+03
1.070000e+00,1.160285e+00,1.154453e+03
1.075000e+00,1.159535e+00,1.153707e+03
1.080000e+00,1.158790e+00,1.152965e+03
1.085000e+00,1.158050e+00,1.152229e+03
1.090000e+00,1.157315e+00,1.151497e+03
1.095000e+00,1.156584e+00,1.150769e+03
1.100000e+00,1.155857e+00,1.150046e+03
1.105000e+00,1.155135e+00,1.149327e+03
1.110000e+00,1.154416e+00,1.148612e+03
1.115000e+00,1.153702e+00,1.147901e+03
1.120000e+00,1.152992e+00,1.147194e+03
1.125000e+00,1.152285e+00,1.146491e+03
1.130000e+00,1.151582e+00,1.145792e+03
1.135000e+00,1.150883e+00,1.145096e+03
1.140000e+00,1.150188e+00,1.144404e+03
1.145000e+00,1.149496e+00,1.143715e+03
1.150000e+00,1.148807e+00,1.143029e+03
1.155000e+00,1.148121e+00,1.142347e+03
1.160000e+00,1.147439e+00,1.141668e+03
1.165000e+00,1.146760e+00,1.140993e+03
1.170000e+00,1.146084e+00,1.140320e+03
1.175000e+00,1.145411e+00,1.139650e+03
1.180000e+00,1.144741e+00,1.138983e+03
1.185000e+00,1.144074e+00,1.138319e+03
1.190000e+00,1.143409e+00,1.137658e+03
1.195000e+00,1.142747e+00,1.136999e+03
1.200000e+00,1.142088e+00,1.136343e+03
1.205000e+00,1.141432e+00,1.135689e+03
1.210000e+00,1.140777e+00,1.135038e+03
1.215000e+00,1.140126e+00,1.134390e+03
1.220000e+00,1.139476e+00,1.133743e+03
1.225000e+00,1.138829e+00,1.133099e+03
1.230000e+00,1.138184e+00,1.132458e+03
1.235000e+00,1.137542e+00,1.131818e+03
1.240000e+00,1.136901e+00,1.131181e+03
1.245000e+00,1.136263e+00,1.130545e+03
1.250000e+00,1.135626e+00,1.129912e+03
1.255000e+00,1.134992e+00,1.129280e+03
1.260000e+00,1.134359e+00,1.128651e+03
1.265000e+00,1.133728e+00,1.128023e+03
1.270000e+00,1.133099e+00,1.127397e+03
1.275000e+00,1.132472e+00,1.126773e+03
1.280000e+00,1.131846e+00,1.126150e+03
1.285000e+00,1.131223e+00,1.125529e+03
1.290000e+00,1.130600e+00,1.124910e+03
1.295000e+00,1.129979e+00,1.124292e+03
1.300000e+00,1.129360e+00,1.123675e+03
1.305000e+00,1.128742e+00,1.123061e+03
1.310000e+00,1.128126e+00,1.122447e+03
1.315000e+00,1.127511e+00,1.121835e+03
1.320000e+00,1.126897e+00,1.121224e+03
1.325000e+00,1.126284e+00,1.120615e+03
1.330000e+00,1.125673e+00,1.120006e+03
1.335000e+00,1.125063e+00,1.119399e+03
1.340000e+00,1.124454e+00,1.118793e+03
1.345000e+00,1.123847e+00,1.118188e+03
1.350000e+00,1.123240e+00,1.117584e+03
1.355000e+00,1.122634e+00,1.116982e+03
1.360000e+00,1.122030e+00,1.116380e+03
1.365000e+00,1.121426e+00,1.115779e+03
1.370000e+00,1.120823e+00,1.115179e+03
1.375000e+00,1.120221e+00,1.114580e+03
1.380000e+00,1.119620e+00,1.113982e+03
1.385000e+00,1.119020e+00,1.113385e+03
1.390000e+00,1.118421e+00,1.112789e+03
1.395000e+00,1.117823e+00,1.112193e+03
1.400000e+00,1.117225e+00,1.111598e+03
1.405000e+00,1.116628e+00,1.111004e+03
1.410000e+00,1.116031e+00,1.110410e+03
1.415000e+00,1.115435e+00,1.109817e+03
1.420000e+00,1.114840e+00,1.109225e+03
1.425000e+00,1.114246e+00,1.108633e+03
1.430000e+00,1.113652e+00,1.108042e+03
